iter	MultiClass
0	3.719833051
1	3.527210274
2	3.381029407
3	3.276309573
4	3.1812735
5	3.094039151
6	3.019741593
7	2.966740879
8	2.913315274
9	2.864082395
10	2.812490955
11	2.779325306
12	2.740570307
13	2.701819568
14	2.669517372
15	2.644098677
16	2.630258373
17	2.603509421
18	2.576612999
19	2.552438578
20	2.531247715
21	2.508532145
22	2.490212199
23	2.469487379
24	2.454747631
25	2.44650351
26	2.429074828
27	2.417474531
28	2.400673145
29	2.384599358
30	2.369274798
31	2.355598516
32	2.34286015
33	2.335548317
34	2.324028115
35	2.311882866
36	2.30074549
37	2.28957898
38	2.277570257
39	2.264663513
40	2.257354817
41	2.247434333
42	2.237388235
43	2.230202086
44	2.219182221
45	2.208783006
46	2.200271425
47	2.190387618
48	2.18219102
49	2.174728542
50	2.162182488
51	2.153163812
52	2.145311816
53	2.138049741
54	2.130279921
55	2.121110895
56	2.110811821
57	2.104216081
58	2.096461495
59	2.089166004
60	2.080266297
61	2.072280379
62	2.064251007
63	2.057670873
64	2.052032777
65	2.044578841
66	2.034787761
67	2.027712835
68	2.020611858
69	2.014233281
70	2.008214393
71	2.004502584
72	2.000393727
73	1.992631913
74	1.984767998
75	1.978198833
76	1.972830737
77	1.967796126
78	1.959855709
79	1.953796698
80	1.945896844
81	1.940011248
82	1.934250806
83	1.931043038
84	1.925548173
85	1.920916853
86	1.914531413
87	1.909387252
88	1.901204203
89	1.894928594
90	1.888882893
91	1.883575932
92	1.878821624
93	1.871167936
94	1.865566985
95	1.858640959
96	1.85266846
97	1.847282765
98	1.842088379
99	1.838599505
100	1.833488349
101	1.827756809
102	1.82188802
103	1.815106975
104	1.810775908
105	1.802946225
106	1.797402128
107	1.791688153
108	1.787199236
109	1.780032478
110	1.775680617
111	1.772049866
112	1.764201721
113	1.760119408
114	1.754857507
115	1.750230544
116	1.743807543
117	1.738236702
118	1.732597366
119	1.72873395
120	1.723209469
121	1.716747076
122	1.711063795
123	1.705496492
124	1.700708843
125	1.695951028
126	1.690984017
127	1.686367221
128	1.681027327
129	1.675632749
130	1.670074908
131	1.666135783
132	1.661364281
133	1.65672547
134	1.651745538
135	1.646700177
136	1.64210029
137	1.637922417
138	1.633438217
139	1.628409281
140	1.623570477
141	1.618634374
142	1.613465611
143	1.606849192
144	1.601860287
145	1.596337797
146	1.5913541
147	1.587365545
148	1.583824919
149	1.579726022
150	1.575485002
151	1.57181636
152	1.567765771
153	1.563379502
154	1.559421198
155	1.555502347
156	1.551964252
157	1.548880795
158	1.545138899
159	1.540326633
160	1.537311896
161	1.53456441
162	1.530980585
163	1.5280113
164	1.522390447
165	1.519516488
166	1.517822206
167	1.514533684
168	1.511348522
169	1.50697228
170	1.503889044
171	1.499506749
172	1.494814741
173	1.491094945
174	1.488983931
175	1.484799408
176	1.481814282
177	1.477663542
178	1.474767381
179	1.471122134
180	1.467157647
181	1.462997828
182	1.459036565
183	1.454521826
184	1.45046696
185	1.447802951
186	1.444316685
187	1.440519982
188	1.437043595
189	1.434180613
190	1.4314792
191	1.427710772
192	1.42473994
193	1.421475414
194	1.417528414
195	1.41487089
196	1.410698707
197	1.407187529
198	1.402798102
199	1.399229865
200	1.395066101
201	1.391981191
202	1.389231141
203	1.386064483
204	1.383294559
205	1.37831315
206	1.376930438
207	1.373658648
208	1.370636862
209	1.367877112
210	1.364731193
211	1.362059455
212	1.360767767
213	1.358455232
214	1.355846138
215	1.353345847
216	1.349726887
217	1.346393433
218	1.343636967
219	1.340773212
220	1.337235648
221	1.333937474
222	1.329435196
223	1.327127515
224	1.32461565
225	1.321555077
226	1.318675256
227	1.315546208
228	1.311506374
229	1.308690614
230	1.306203037
231	1.303431263
232	1.299698538
233	1.297069835
234	1.293805364
235	1.29032019
236	1.287413106
237	1.284325882
238	1.282068523
239	1.27949925
240	1.277692852
241	1.275045597
242	1.271265721
243	1.268706934
244	1.266604079
245	1.264348989
246	1.261981915
247	1.259580779
248	1.256015382
249	1.254802647
250	1.252345663
251	1.248694551
252	1.246185482
253	1.243662184
254	1.241560315
255	1.238782209
256	1.237126472
257	1.235357712
258	1.232991412
259	1.230159096
260	1.228118218
261	1.226437622
262	1.224657951
263	1.222857772
264	1.221060591
265	1.218690122
266	1.216401957
267	1.213931403
268	1.212102417
269	1.210214276
270	1.207614705
271	1.20516264
272	1.202627505
273	1.201158979
274	1.198950465
275	1.197013222
276	1.194158286
277	1.192083421
278	1.190364621
279	1.189417454
280	1.186979603
281	1.185143849
282	1.183671402
283	1.181380456
284	1.17827661
285	1.177027753
286	1.174728556
287	1.172763796
288	1.169899067
289	1.167908336
290	1.164980538
291	1.163233894
292	1.161193241
293	1.158685554
294	1.156903633
295	1.154488077
296	1.152648818
297	1.150884944
298	1.148834652
299	1.14683123
300	1.145077988
301	1.142820702
302	1.141580214
303	1.139823456
304	1.138165436
305	1.135773029
306	1.133578979
307	1.13185725
308	1.130627694
309	1.128827651
310	1.12701485
311	1.125392105
312	1.123327461
313	1.121533644
314	1.120230441
315	1.118672166
316	1.116514974
317	1.114382512
318	1.112744502
319	1.111149703
320	1.110124153
321	1.107620558
322	1.106109951
323	1.104496134
324	1.102518564
325	1.100473972
326	1.098572594
327	1.097378578
328	1.095627489
329	1.094252253
330	1.092812439
331	1.09075194
332	1.0878684
333	1.086383796
334	1.083672243
335	1.081404242
336	1.080112079
337	1.079262087
338	1.077300687
339	1.075621321
340	1.074164002
341	1.072516403
342	1.071449141
343	1.069649764
344	1.067959867
345	1.066319262
346	1.064157513
347	1.062933504
348	1.061611526
349	1.059093901
350	1.057758027
351	1.056180981
352	1.054980607
353	1.052879273
354	1.051500858
355	1.050270501
356	1.048842002
357	1.047293632
358	1.046143926
359	1.044798843
360	1.043792744
361	1.041451378
362	1.039809543
363	1.038362682
364	1.037013745
365	1.035824351
366	1.033663548
367	1.03274369
368	1.031806377
369	1.030131036
370	1.028162147
371	1.026523929
372	1.02439207
373	1.023239627
374	1.021135707
375	1.019998963
376	1.018376404
377	1.016839978
378	1.015636923
379	1.013870719
380	1.011982362
381	1.010510236
382	1.008925718
383	1.007538584
384	1.006501722
385	1.005173416
386	1.004369094
387	1.00302527
388	1.000258409
389	0.9978950323
390	0.9966468363
391	0.9954928579
392	0.9938250088
393	0.9923350414
394	0.9911145748
395	0.9891372942
396	0.9882851678
397	0.987702078
398	0.986285266
399	0.9850240046
400	0.9840441676
401	0.9822637808
402	0.9813789526
403	0.9799887662
404	0.9784536514
405	0.9777385554
406	0.9762454805
407	0.9749989656
408	0.9740062832
409	0.9728480913
410	0.9714333386
411	0.9705816718
412	0.9690098374
413	0.967256902
414	0.9654341736
415	0.9638466518
416	0.9624940646
417	0.961376178
418	0.9604974572
419	0.9590076451
420	0.9580814248
421	0.9565305045
422	0.955722209
423	0.9544871192
424	0.9533491133
425	0.9518380483
426	0.9507746237
427	0.949249549
428	0.9477450385
429	0.9461373622
430	0.9452305308
431	0.9441334145
432	0.9428229034
433	0.9412928637
434	0.9393360362
435	0.9381976258
436	0.9367321758
437	0.9354280174
438	0.9340501442
439	0.9328151598
440	0.9317408065
441	0.9308742705
442	0.9300767048
443	0.9291830645
444	0.9279713739
445	0.9262671899
446	0.9248038596
447	0.9237646052
448	0.9224154052
449	0.9214119404
450	0.9202643553
451	0.9187455557
452	0.9179684208
453	0.9171541628
454	0.9156641461
455	0.9146923703
456	0.9131887125
457	0.912519411
458	0.9118515689
459	0.9106830231
460	0.9092877266
461	0.9078283085
462	0.9068622093
463	0.9060526199
464	0.9051217734
465	0.9042017092
466	0.9027599834
467	0.9016130913
468	0.9010067007
469	0.8995174547
470	0.8987641999
471	0.8974749276
472	0.896092669
473	0.8947996353
474	0.8940118819
475	0.893210795
476	0.8915509245
477	0.8910885655
478	0.8901196394
479	0.8893229915
480	0.8882728559
481	0.8868841008
482	0.8860402375
483	0.8849402291
484	0.8840281323
485	0.8829769176
486	0.8821266714
487	0.8804837508
488	0.8784544418
489	0.8766748797
490	0.876118453
491	0.8754069592
492	0.8746590514
493	0.8738924935
494	0.8723388253
495	0.8711277792
496	0.8703295953
497	0.8694095127
498	0.8679896998
499	0.867387473
500	0.8665152845
501	0.8657843825
502	0.8642864126
503	0.8634194588
504	0.8625051766
505	0.8620410938
506	0.8617206222
507	0.8605347904
508	0.859637022
509	0.8582866593
510	0.8568469719
511	0.8562519549
512	0.8553367837
513	0.8542624341
514	0.8528929125
515	0.851929429
516	0.8511956611
517	0.8496787979
518	0.8484526519
519	0.8473633437
520	0.846829722
521	0.8454555236
522	0.8446817655
523	0.8440420558
524	0.8430807786
525	0.8418315499
526	0.8408755089
527	0.8398589366
528	0.8384571599
529	0.837684402
530	0.8366492108
531	0.8354844751
532	0.835013751
533	0.8343153473
534	0.8335099016
535	0.8328953156
536	0.8312513763
537	0.8303514342
538	0.8296162763
539	0.8286773388
540	0.8276800719
541	0.8262614856
542	0.8256627086
543	0.8248631798
544	0.8241972546
545	0.823307777
546	0.8223352207
547	0.8218426404
548	0.821325368
549	0.820360593
550	0.8196622124
551	0.818677151
552	0.817693423
553	0.8167669784
554	0.8159118393
555	0.8152092276
556	0.8139588541
557	0.8132185639
558	0.8121948811
559	0.8109512394
560	0.8101885498
561	0.8090273494
562	0.8085240716
563	0.8075861538
564	0.8070061037
565	0.8059912587
566	0.8048881345
567	0.8039201939
568	0.8031248227
569	0.8016175053
570	0.8008422954
571	0.7998678102
572	0.7989815633
573	0.7978610035
574	0.7968649735
575	0.7961585336
576	0.7955104355
577	0.7946337703
578	0.7936048572
579	0.7929807798
580	0.7917277244
581	0.7907364081
582	0.7898282652
583	0.7888832152
584	0.7882916454
585	0.7877064863
586	0.7868091597
587	0.7857133756
588	0.7849943308
589	0.7840088477
590	0.7834385341
591	0.7830488576
592	0.7816271637
593	0.7809962649
594	0.7804831787
595	0.7797856014
596	0.7787071902
597	0.7776837048
598	0.7765074712
599	0.7757503567
600	0.7747693692
601	0.7740005716
602	0.7734869142
603	0.7727921983
604	0.7718511301
605	0.771099339
606	0.7703502523
607	0.7698429376
608	0.7693943077
609	0.7685609229
610	0.7677799551
611	0.7669943752
612	0.7659248596
613	0.7654394637
614	0.7649161096
615	0.7644793925
616	0.7638867235
617	0.7626052034
618	0.761933491
619	0.7605784564
620	0.7600560727
621	0.7596099209
622	0.7591258159
623	0.7581101448
624	0.7569665005
625	0.7559519978
626	0.7547325714
627	0.7536015468
628	0.7526485699
629	0.7519289315
630	0.7512952244
631	0.7508883008
632	0.7498716757
633	0.7488192769
634	0.7482190307
635	0.7467300073
636	0.7459868943
637	0.7452842277
638	0.7446014019
639	0.7441599495
640	0.7428091777
641	0.7417427037
642	0.7410468837
643	0.7404492625
644	0.7399603869
645	0.7391083182
646	0.7386552165
647	0.7373934706
648	0.7367466697
649	0.7358092902
650	0.7347607788
651	0.7342942599
652	0.7337755046
653	0.7327514081
654	0.7320815273
655	0.7316753624
656	0.7303921003
657	0.7295058475
658	0.728391705
659	0.728173071
660	0.7270561778
661	0.7257490769
662	0.7254671018
663	0.7247119677
664	0.7240014552
665	0.7236778485
666	0.7229325858
667	0.7219914845
668	0.7210782604
669	0.7200017495
670	0.7193650023
671	0.7188090269
672	0.7184074499
673	0.7178778742
674	0.7170986148
675	0.7167569571
676	0.7155563853
677	0.7149480856
678	0.7143317259
679	0.7136483815
680	0.7129575304
681	0.711955372
682	0.7113017792
683	0.7103092597
684	0.7093628009
685	0.7082928887
686	0.707500756
687	0.7069200983
688	0.7060119005
689	0.705352614
690	0.7044149368
691	0.7039856079
692	0.703330008
693	0.7025383631
694	0.7017922392
695	0.7011317186
696	0.7005159691
697	0.700095868
698	0.6990510476
699	0.6981017941
700	0.6966738714
701	0.695933497
702	0.6955039618
703	0.6949273661
704	0.6944121886
705	0.6940382699
706	0.6929865899
707	0.6919556202
708	0.691593553
709	0.690980516
710	0.6900321588
711	0.6891026907
712	0.6883340328
713	0.6878500683
714	0.6870358947
715	0.6866992056
716	0.6863082675
717	0.6858693514
718	0.6852826072
719	0.6845508221
720	0.6840159704
721	0.6835110929
722	0.6827534967
723	0.6821933876
724	0.6815892855
725	0.6811795382
726	0.680390636
727	0.6797604311
728	0.6789638005
729	0.6783484567
730	0.6778031122
731	0.6771572275
732	0.6764051716
733	0.6758738419
734	0.6753284441
735	0.6740395842
736	0.672901055
737	0.6725704032
738	0.6722398639
739	0.6714293292
740	0.670856276
741	0.6701161258
742	0.6695517213
743	0.6684888839
744	0.6677820919
745	0.6669688997
746	0.6662487444
747	0.665699692
748	0.6648725325
749	0.6642690123
750	0.6639761515
751	0.6633645445
752	0.6630402532
753	0.662223148
754	0.6615825953
755	0.6610839374
756	0.6608901713
757	0.6601752031
758	0.6596138362
759	0.6591953962
760	0.6586961286
761	0.6578657929
762	0.6572970799
763	0.656676396
764	0.6562858268
765	0.6555572539
766	0.6551037581
767	0.6541779875
768	0.6537677328
769	0.6531102001
770	0.6526500107
771	0.6518973186
772	0.651148853
773	0.6507760853
774	0.6499696139
775	0.6495292727
776	0.6490308755
777	0.6484067105
778	0.6480725399
779	0.6476737532
780	0.647231916
781	0.6469797132
782	0.6463167713
783	0.645930134
784	0.6452597957
785	0.644717474
786	0.6438427707
787	0.6434104835
788	0.6425513883
789	0.6418460643
790	0.6412938194
791	0.6405152977
792	0.6398723531
793	0.6390884113
794	0.6382697602
795	0.6372055788
796	0.6368776148
797	0.6363149071
798	0.635799719
799	0.6353705778
800	0.6346347707
801	0.6343122741
802	0.6335952168
803	0.6332091523
804	0.6326443732
805	0.6322486778
806	0.6314458439
807	0.6310834204
808	0.6303174967
809	0.6298171443
810	0.6291804097
811	0.6285746757
812	0.6277531153
813	0.6271359813
814	0.6264853637
815	0.6254775119
816	0.6249390802
817	0.6244390238
818	0.6241774443
819	0.6237063041
820	0.6230307209
821	0.6224296715
822	0.6221560521
823	0.6215817772
824	0.6209886733
825	0.6200336057
826	0.6195921826
827	0.6190045122
828	0.6181115485
829	0.6178598362
830	0.6174800749
831	0.6168320462
832	0.6165708815
833	0.6161446654
834	0.6155239964
835	0.6149555764
836	0.6144432408
837	0.6140080506
838	0.6134810894
839	0.6128727629
840	0.6121312262
841	0.611525908
842	0.6110703094
843	0.6105814996
844	0.6102518184
845	0.6098640133
846	0.6092866376
847	0.6087111395
848	0.6082961015
849	0.6076512847
850	0.6069932135
851	0.6064626971
852	0.6057068924
853	0.6053333658
854	0.6048574552
855	0.6046950668
856	0.6041862688
857	0.6039952683
858	0.6033523107
859	0.6026963817
860	0.6023653102
861	0.6016915652
862	0.6004886741
863	0.6001580943
864	0.6000057909
865	0.599376642
866	0.5990652733
867	0.5982791038
868	0.5974806545
869	0.5968212894
870	0.5966311089
871	0.5961656688
872	0.5956217928
873	0.5951013161
874	0.5945117248
875	0.5939809949
876	0.5933313415
877	0.5929971619
878	0.5925775793
879	0.5919723042
880	0.5915026578
881	0.5908666486
882	0.5904943671
883	0.5898849333
884	0.5891586539
885	0.5889693914
886	0.5882723053
887	0.5880426183
888	0.5876893102
889	0.587268977
890	0.5866122098
891	0.5859937004
892	0.5855237238
893	0.5850944241
894	0.5846534024
895	0.5842860884
896	0.5839520884
897	0.583321841
898	0.5829633348
899	0.5824772357
900	0.5821808219
901	0.5817630664
902	0.5812092777
903	0.5806781607
904	0.5801962876
905	0.5795085315
906	0.5790250777
907	0.5785988847
908	0.5783965112
909	0.5779656119
910	0.5774509467
911	0.5768853062
912	0.5765758726
913	0.5758964041
914	0.5755585685
915	0.5751276944
916	0.5747765256
917	0.5743131619
918	0.573805643
919	0.5732670769
920	0.5727313837
921	0.5722838816
922	0.5719568588
923	0.5716247643
924	0.570971108
925	0.5706071081
926	0.570108405
927	0.5697682754
928	0.5691152759
929	0.5684491859
930	0.5680014229
931	0.5677848913
932	0.5671533765
933	0.5667142501
934	0.5664396434
935	0.5660467489
936	0.5654886099
937	0.5650156033
938	0.5645804535
939	0.5644374861
940	0.5637841313
941	0.5634710049
942	0.5629168266
943	0.5625771382
944	0.5620979444
945	0.5617903381
946	0.56111052
947	0.5608260184
948	0.5605174534
949	0.5601349314
950	0.5593012445
951	0.5591802719
952	0.5586753377
953	0.5583068631
954	0.557796967
955	0.5570919134
956	0.5566173722
957	0.5561297524
958	0.555534385
959	0.5549504327
960	0.5544350771
961	0.5540084233
962	0.5536898851
963	0.5534066167
964	0.5530330965
965	0.5527978455
966	0.5525019057
967	0.552300198
968	0.5519883537
969	0.5513466694
970	0.5507725289
971	0.5503074702
972	0.5498322844
973	0.5493480336
974	0.5487281708
975	0.5483828375
976	0.5480136288
977	0.5476180565
978	0.5473036732
979	0.5468311443
980	0.5460090462
981	0.5456278142
982	0.5451475654
983	0.5448494836
984	0.5445214304
985	0.5440171574
986	0.5436640872
987	0.5432275752
988	0.5430384269
989	0.5428515979
990	0.5425431207
991	0.5420669739
992	0.5415638472
993	0.5410854344
994	0.5405544034
995	0.5399065747
996	0.5392286295
997	0.5386521471
998	0.5382109822
999	0.5377612208
